dataset,field,available_step_count,total_step_count,availability_rate,available
Final500,raw_action_text,16838,26014,0.6472668563081417,True
Final500,normalized_action_text,16838,26014,0.6472668563081417,True
Final500,tool_name,0,26014,0.0,False
Final500,command_text,5083,26014,0.1953947874221573,True
Final500,thought_text,16838,26014,0.6472668563081417,True
Final500,observation_text,16105,26014,0.6190897209195049,True
Final500,output_text,0,26014,0.0,False
Final500,error_text,5239,26014,0.20139155839163528,True
Final500,error_signature,5873,26014,0.22576305066502653,True
Final500,file_path,15835,26014,0.6087106942415622,True
Final500,mentioned_files,15835,26014,0.6087106942415622,True
Final500,step_type,16838,26014,0.6472668563081417,True
Final500,signal_fields,26014,26014,1.0,True
Final500,evidence_fields,26014,26014,1.0,True
Final500,raw_field_source,25634,26014,0.9853924809717844,True
Natural500,raw_action_text,0,8550,0.0,False
Natural500,normalized_action_text,0,8550,0.0,False
Natural500,tool_name,0,8550,0.0,False
Natural500,command_text,0,8550,0.0,False
Natural500,thought_text,0,8550,0.0,False
Natural500,observation_text,0,8550,0.0,False
Natural500,output_text,0,8550,0.0,False
Natural500,error_text,0,8550,0.0,False
Natural500,error_signature,0,8550,0.0,False
Natural500,file_path,0,8550,0.0,False
Natural500,mentioned_files,0,8550,0.0,False
Natural500,step_type,0,8550,0.0,False
Natural500,signal_fields,8550,8550,1.0,True
Natural500,evidence_fields,8550,8550,1.0,True
Natural500,raw_field_source,8104,8550,0.9478362573099415,True
OpenHandsExternal330,raw_action_text,0,51010,0.0,False
OpenHandsExternal330,normalized_action_text,0,51010,0.0,False
OpenHandsExternal330,tool_name,0,51010,0.0,False
OpenHandsExternal330,command_text,0,51010,0.0,False
OpenHandsExternal330,thought_text,0,51010,0.0,False
OpenHandsExternal330,observation_text,0,51010,0.0,False
OpenHandsExternal330,output_text,0,51010,0.0,False
OpenHandsExternal330,error_text,0,51010,0.0,False
OpenHandsExternal330,error_signature,0,51010,0.0,False
OpenHandsExternal330,file_path,0,51010,0.0,False
OpenHandsExternal330,mentioned_files,0,51010,0.0,False
OpenHandsExternal330,step_type,0,51010,0.0,False
OpenHandsExternal330,signal_fields,0,51010,0.0,False
OpenHandsExternal330,evidence_fields,51010,51010,1.0,True
OpenHandsExternal330,raw_field_source,51010,51010,1.0,True
StressFresh100,raw_action_text,3132,3132,1.0,True
StressFresh100,normalized_action_text,3132,3132,1.0,True
StressFresh100,tool_name,3132,3132,1.0,True
StressFresh100,command_text,986,3132,0.3148148148148148,True
StressFresh100,thought_text,3132,3132,1.0,True
StressFresh100,observation_text,3032,3132,0.9680715197956578,True
StressFresh100,output_text,0,3132,0.0,False
StressFresh100,error_text,626,3132,0.19987228607918264,True
StressFresh100,error_signature,1233,3132,0.3936781609195402,True
StressFresh100,file_path,2992,3132,0.9553001277139208,True
StressFresh100,mentioned_files,2992,3132,0.9553001277139208,True
StressFresh100,step_type,3132,3132,1.0,True
StressFresh100,signal_fields,0,3132,0.0,False
StressFresh100,evidence_fields,3132,3132,1.0,True
StressFresh100,raw_field_source,3132,3132,1.0,True
