dataset,public_trajectory_id,original_trajectory_sha256,step_index,step_label,step_span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,0,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,1,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,2,productive,productive_iteration,True,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,3,productive,productive_iteration,True,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,4,productive,productive_iteration,True,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,5,productive,none,False,False,False,False,False,1.0
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,6,productive,productive_iteration,True,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,7,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,8,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,9,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,10,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,11,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,12,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,0,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,1,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,2,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,3,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,4,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,5,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,6,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,7,productive,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,8,stagnant,productive_iteration,False,True,False,False,False,1.0
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,0,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,1,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,2,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,3,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,4,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,5,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,6,productive,productive_iteration,False,True,False,False,False,0.6
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,7,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,8,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,9,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,10,stagnant,none,False,False,False,False,False,0.7
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,11,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,12,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,0,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,1,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,2,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,3,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,4,productive,productive_iteration,False,True,False,False,False,0.6
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,5,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,6,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,7,productive,productive_iteration,False,True,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,8,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,9,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,10,stagnant,none,False,False,False,False,False,0.9
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,11,stagnant,none,False,False,False,False,False,0.6
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,12,stagnant,none,False,False,False,False,False,0.7
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,0,productive,productive_iteration,False,True,False,False,False,0.6
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,1,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,2,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,3,productive,productive_iteration,False,True,False,False,False,0.5
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,4,productive,productive_iteration,False,True,False,False,False,0.4
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,5,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,6,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,7,productive,productive_iteration,False,True,False,False,False,0.5
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,8,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,9,productive,productive_iteration,False,True,False,False,False,0.7
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,10,productive,productive_iteration,False,True,False,False,False,0.4
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,11,productive,productive_iteration,False,True,False,False,False,0.8
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,12,productive,productive_iteration,False,True,False,False,False,0.7
